Project name,Test method name,Is flaky,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,Dependent Test,Duplicate Assert,Eager Test,EmptyTest,Exception Catching Throwing,General Fixture,IgnoredTest,Lazy Test,Magic Number Test,Mystery Guest,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,Unknown Test,Verbose Test
Alluxio-alluxio,getClientsTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,faultTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,createFileTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,deleteFileTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,deleteDirectoryWithDirectoriesTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,lsTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,addCheckpointTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,notFileCheckpointTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,createFilePerfTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,createDirectoryTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,createFileInvalidPathTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,createAlreadyExistFileTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,createRawTableTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,negativeColumnTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,tooManyColumnsTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,deleteEmptyDirectoryTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,deleteDirectoryWithFilesTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,deleteDirectoryWithFilesTest2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,deleteDirectoryWithDirectoriesTest2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alluxio-alluxio,getCapacityBytesTest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
